那格列奈片,本品可以单独用于经饮食和运动不能有效控制高血糖的2型糖尿病病人也可用于使用二甲双胍不能有效控制高血糖的2型糖尿病病人，采用与二甲双胍联合应用，但不能替代二甲双胍那格列奈不适用于对磺脲类降糖药治疗不理想的2型糖尿病病人
格列吡嗪片,用于非胰岛素依赖型糖尿病（Ⅱ型糖尿病），肥胖病人与有血管并发症者尤为适用
盐酸二甲双胍肠溶胶囊,用于单纯饮食控制不满意的2型糖尿病患者，尤其是肥胖者不但有降血糖作用，还可能有减轻体重的作用对某些磺酰脲类无效的病例有效如与磺酰脲类降血糖药合用有协同作用，较各自的效果更好
盐酸吡格列酮片,对于2型糖尿病（非胰岛素依赖性糖尿病，NIDDM）患者、盐酸吡格列酮可与饮食控制和体育锻炼联合以控制血糖盐酸吡格列酮可单独使用，当饮食控制、体育锻炼和单药治疗不能满意控制血糖时，它也可与磺脲类药物、二甲双胍类或胰岛素合用2型糖尿病的控制还应包括营养咨询、必要的减肥和体育锻炼这些努力不仅在2型糖尿病的初始治疗时很重要、在药物维持治疗时也是如此
格列齐特缓释片,用于单用饮食控制、运动疗法和减轻体重不足以控制血糖水平的成人2型糖尿病患者
盐酸苯乙双胍片,用于单纯饮食控制不满意的2型糖尿病人，尤其是肥胖者和伴高胰岛素血症者，用本品不仅有降血糖作用，还可能有助于减轻体重和高胰岛素血症的效果对某些经磺酰脲类治疗效果差的糖尿病患者，本品与磺酰脲类降血糖药合用，可产生协同作用，较分别单用的效果更好
格列美脲分散片,适用于控制饮食、运动疗法及减轻体重均不能充分控制血糖的2型糖尿病
格列美脲胶囊,用于2型糖尿病
格列吡嗪缓释片,适用于单独饮食控制不满意的轻、中度2型糖尿病患者
马来酸罗格列酮片,经饮食控制和锻炼治疗效果仍不满意的2型糖尿病患者本品可单独应用，也可与磺脲类或双胍类合用治疗单用磺脲类或双胍类血糖控制不佳的2型糖尿病患者
罗格列酮钠片,1.本品仅适用于其他降糖药无法达到血糖控制目标的2型糖尿病患者2.单一服用本品，并辅以饮食控制和运动，可控制2型糖尿病患者的血糖3.对于饮食控制和运动加
格列吡嗪分散片,适用于经饮食控制及体育锻炼2～3个月疗效不满意的轻、中度2型糖尿病患者，这类糖尿病患者的胰岛β细胞需有一定的分泌胰岛素功能
盐酸罗格列酮片,本品适用于治疗2型糖尿病单一服用本品，并辅以饮食控制和运动，可控制2型糖尿病患者的血糖对于饮食控制和运动加服本品或单一抗糖尿病药物，而血糖控制不佳的2型糖尿病患者，本品可与二甲双胍或磺酰脲类药物联合应用对服用最大推荐剂量二甲双胍或磺酰脲类药
甲硝唑片,用于治疗肠道和肠外阿米巴病（如阿米巴肝脓肿、胸膜阿米巴病等）还可用于治疗阴道滴虫病、小袋虫病和皮肤利什曼病、麦地那龙线虫感染等目前还广泛用于厌氧菌感染的治疗
奥硝唑胶囊,用于治疗由厌氧菌（脆弱拟杆菌、狄氏拟杆菌、卵园拟杆菌、多形拟杆菌、普通拟杆菌、梭状芽胞杆菌、真杆菌、消化球菌和消化链球菌、幽门螺杆菌、黑色素拟杆菌、梭杆菌、CO2噬织维菌、牙龈类杆菌等）感染引起的多种疾病；男女泌尿生殖道毛滴虫、贾第氏鞭毛虫感染引起的疾病（如阴道滴虫病等）；肠、肝阿米巴虫病（包括阿米巴痢疾、阿米巴肝脓肿），肠、肝变形虫感染引起的疾病；用于预防和治疗各科手术后厌氧菌感染
更昔洛韦胶囊,本品用于免疫损伤引起巨细胞病毒感染的患者1.于免疫功能损伤（包括艾滋病患者）发生的巨细胞病毒性视网膜炎的维持治疗2.预防可能发生于器官移植受者的巨细胞病毒感染3.预防晚期HIV感染患者的巨细胞病毒感染
肠内营养混悬液(SP),本品适用于有胃肠道功能或部分胃肠道功能而不能或不愿吃足够数量的常规食物以满足机体营养需求的肠内营养治疗的病人，主要用于：1．代谢性胃肠道功能障碍-胰腺炎-肠道炎性疾病-放射性肠炎和化疗-肠瘘-短肠综合征-艾滋病病毒/艾滋病2．危重疾病-大面积烧伤-创伤-脓毒血症-大手术后的恢复期3．营养不良病人的手术前喂养4．肠道准备本品能用于糖尿病病人
肠内营养混悬液(TPF),本品能补充人体日常生理功能所需的能量及营养成分
热炎宁颗粒(正清),热炎宁颗粒，中成药名为清热剂，具有清热解毒之功效主治外感风热、内郁化火所致的风热感冒，症见发热、咽喉肿痛、口苦咽干、咳嗽痰黄、尿黄便结；化脓性扁桃体炎、急性咽炎、急性支气管炎、单纯性肺炎等见上述证候者
开塞露,能润滑并刺激肠壁，软化大便，使易于排出
麻仁润肠丸,润肠通便用于肠胃积热，胸腹胀满，大便秘结
聚乙二醇4000散(福松),成人及8岁以上儿童（包括8岁）便秘的症状治疗
麻仁润肠丸,润肠通便用于肠胃积热，胸腹胀满，大便秘结
开塞露,用于小儿、老年体弱便秘者的治疗
乳果糖口服溶液,慢性或习惯性便秘：调节结肠的生理节律-肝性脑病（PSE）：用于治疗和预防肝昏迷或昏迷前状态
麻仁润肠丸,润肠通便用于肠胃积热，胸腹胀满，大便秘结
麻仁软胶囊,润肠通便用于肠燥便秘
六味安消胶囊,中成药名为消食剂，具有和胃健脾，导滞消积，活血止痛之功效用于胃痛胀满，消化不良，便秘，痛经
蓖麻油,润肠通便用于肠燥便秘
酚酞片,用于治疗习惯性顽固性便秘
舒肝健胃丸,疏肝开郁，导滞和中用于肝胃不和引起的胃脘胀痛，胸胁满闷，呕吐吞酸，腹胀便秘
比沙可啶栓,用于急、慢性便秘及习惯性便秘
小儿鼻炎片,散风，清热用于小儿慢性鼻炎
氯雷他定糖浆,用于缓解过敏性鼻炎有关的症状，如喷嚏、流涕、鼻痒、鼻塞以及眼部痒及烧灼感口服药物后，鼻和眼部症状及体征得以迅速缓解亦适用于缓解慢性荨麻疹、瘙痒性皮肤病及其他过敏性皮肤病的症状及体征
鼻炎康片,清热解毒，宣肺通窍，消肿止痛用于风邪蕴肺所致的急、慢性鼻炎，过敏性鼻炎
康乐鼻炎片,疏风清热，活血驱瘀，祛湿通窍。用于外感风邪、胆经郁热、脾胃湿热而致的伤风鼻塞、鼻窒、鼻鼽、鼻渊（急、慢性鼻炎，过敏性鼻炎，鼻窦炎）。
千柏鼻炎片,具有清热解毒，活血祛风，宣肺通窍之功效主治风热犯肺，内郁化火，凝滞气血所致的鼻塞，时轻时重，鼻痒气热，流涕黄稠
鼻炎灵片,透窍消肿，祛风退热用于慢性鼻窦炎、鼻炎及鼻塞头痛，浊涕臭气，嗅觉失灵等
通窍鼻炎片,本品散风固表，宣肺通窍。用于风热蕴肺、表虚不固所致的鼻塞时轻时重、鼻流清涕或浊涕、前额头痛;慢性鼻炎、过敏性鼻炎、鼻窦炎见上述证候者。
苍耳子鼻炎胶囊,用于急、慢性鼻炎，鼻窦炎，过敏性鼻炎
苍耳子鼻炎滴丸,疏风，清肺热，通鼻窍，止头痛，用于风热型鼻疾，包括急、慢性鼻炎，鼻窦炎，过敏性鼻炎
千柏鼻炎胶囊,清热解毒，活血祛风用于急慢性鼻炎，过敏性鼻炎，鼻窦炎及咽炎等症
胆香鼻炎片,消炎清热，祛风散寒，通窍止痛。用于慢性单纯性鼻炎、过敏性鼻炎、急慢性副鼻窦炎。
防芷鼻炎片,清热消炎，祛风通窍用于治疗慢性鼻炎引起的喷嚏、鼻塞、头痛、过敏性鼻炎、慢性鼻窦炎
鼻窦炎口服液,具有疏散风热，清热利湿，宣通鼻窍用于风热犯肺、湿热内蕴所致的鼻塞不通、流黄稠涕；急慢性鼻炎、鼻窦炎见上述证候者
香菊胶囊,辛散祛风，清热通窍用于急、慢性鼻窦炎，鼻炎
盐酸羟甲唑啉喷雾剂,用于急慢性鼻炎、鼻窦炎、过敏性鼻炎、肥厚性鼻炎
盐酸羟甲唑啉滴鼻液,用于急慢性鼻炎、鼻窦炎、过敏性鼻炎、肥厚性鼻炎
盐酸萘甲唑啉滴鼻液,用于过敏性及炎症性鼻充血、急慢性鼻炎
盐酸西替利嗪片,季节性鼻炎、常年性过敏性鼻炎、过敏性结膜炎及过敏引起的瘙痒和荨麻疹的对症治疗
